movie,year,rating,genre,runtime,imdb_rating,metascore,votes,descriptions
The Incel Tapes,2022,2.8,Horror,90,2.8,,11,"After a failed suicide attempt, a self-proclaimed ""incel"" must get laid before his 26th birthday - or he's going to kill."
Strangeness,2022,6.8,Comedy|Drama,103,6.8,,1430,"During a trip to Sicily in 1920, Luigi Pirandello meets Onofrio Principato and Sebastiano Vella, two actors rehearsing a new show with the actors of their amateur dramatics. This meeting brings great surprises."
Bleach,2022,3.6,Horror|Thriller,88,3.6,,129,A man goes through extreme measures to attempt to stop the ghosts of the girls he murdered in a snuff film from haunting while trying to keep the authorities off his back as well.
A Family Matters Christmas,2022,5.4,Comedy|Fantasy,86,5.4,,41,"Aiden, far more intelligent kid than any 10-year-old boy should be, wishes that his newly-formed family of his sister, dad, stepmother, and stepbrother could all get along; the Kingsley ...                See full summary »"
"Hunt Her, Kill Her",2022,5.4,Horror|Thriller,89,5.4,,282,A janitor in a furniture factory finds herself in a fight for her life when she becomes the target of sinister masked intruders.
Walking Against the Rain,2022,4.3,Drama|Fantasy|Horror,94,4.3,,182,"WALKING AGAINST THE RAIN tells the story of two strangers, Blair and Tommy who are navigating their way across a barren landscape in a desperate attempt to find each other. With their only ...                See full summary »"
Terror Train,2022,4.5,Horror|Mystery,90,4.5,,1022,"It follows a college student as she boards a party train for Halloween, and ends up fighting for her life when a mysterious assailant begins killing the people one-by-one."
Death Notice,2022,5.7,Crime|Mystery|Thriller,100,5.7,,135,"In Hong Kong, a vigilante serial killer leaves death notices, stating when and how he will murder a victim. Even if the victim reports it to the police and receives protection, the killer ...                See full summary »"
Stromboli,2022,6,Drama,86,6,,1514,"Follows Sara, who recently divorced and decided to register for a 'From Fear to Love' retreat on the Italian volcanic island of Stromboli but she is confronted with the painful past she has been trying to hide."
Jhund,2022,7.4,Biography|Drama|Sport,176,7.4,,25557,"Based on the life of Vijay Barse, a retired sports teacher who founded an NGO called Slum Soccer. He managed to rehabilitate street kids by keeping them off drugs and crime by turning them into soccer players and building a whole team."
A Lot of Nothing,2022,4.3,Comedy|Drama|Thriller,104,4.3,55,365,"James and Vanessa are ostensibly the perfect married couple; beautiful, successful, and smart. Their lives spiral out of control when they decide to seek justice against a neighbor they saw commit a crime on the evening news."
Diabolik: Ginko Attacks,2022,5.5,Action|Crime,116,5.5,,888,Follows Diabolik and his accomplice Eva Kant in a new adventure against a more combative Inspector Ginko than ever.
National Theatre Live: The Seagull,2022,6.6,Drama,164,6.6,,156,"The Seagull is a filmed performance of the play by Anton Chekhov, in a new version by Anya Reiss, in which a woman leaves Moscow to visit her terminally ill brother."
Evil Eye,2022,5.6,Horror,100,5.6,,1270,"Nala, a 13-year-old girl from the city, travels with her family to her grandmother's home in the countryside, to try to find a cure for her little sister's mysterious illness - But she'll soon find her granny is not exactly what she seems."
Protection Detail,2022,6.9,Action|Crime|Drama,93,6.9,,20,Three bodyguards are hired to protect an aging Triad kingpin during a gang war in San Francisco's Chinatown.
Yaksha: Ruthless Operations,2022,6.3,Action|Crime|Thriller,125,6.3,,4318,"Nicknamed after a human-devouring spirit, the ruthless leader of an overseas black ops team takes up a dangerous mission in a city riddled with spies."
Kaguya-sama: Love Is War - The First Kiss That Never Ends,2022,8.5,Animation|Comedy|Romance,96,8.5,,1517,"Now that Kaguya and Miyuki have shared their first kiss, the time has come for them to truly understand each other and admit their feelings."
Confession,2022,6.6,Crime|Mystery|Thriller,105,6.6,,818,A story about a man who has been pointed out as the culprit of a locked-room murder and his lawyer approaching the truth.
Without Her,2022,5.8,Drama|Mystery|Thriller,110,5.8,,428,"Roya was getting ready to emigrate from Iran, then she meets a young woman who appears to have lost her memory. Roya provided her with a home and introduced her to family and friends unaware that this woman has come to replace her."
Fetish/II,2022,7.4,Drama,92,7.4,,24,"Anabel is a beautiful young woman who manages to live a normal life with her modest job. She is innocent and cheerful. However, it seems to make her a willful victim. Oskar Pratz is a ...                See full summary »"
Dhaakad,2022,3.9,Action|Thriller,135,3.9,,11903,"Agent Agni, a highly trained and deadly field agent is entrusted with the mission to gather Intel and eliminate Rudraveer, an international human and arms trafficker who has been off the radar for ten years."
"Blind Willow, Sleeping Woman",2022,7.1,Animation|Drama|Sci-Fi,108,7.1,69,749,"A giant talkative frog, a lost cat, and a tsunami help a bank employee, his wife and a schizophrenic accountant to save Tokyo from an earthquake and find a meaning to their lives."
Heropanti 2,2022,2.5,Action|Comedy|Crime,145,2.5,,27152,"Babloo Ranawat, a genius hacker, is tasked with tracking down Laila, the mastermind behind the world's largest cyber-crime yet to occur. Will Babloo be able to stop him?"
Diary of a Fleeting Affair,2022,7,Comedy|Romance,100,7,,1432,"A single mother and a married man enter into an affair with the understanding that their relationship is purely sexual. Though they agree the relationship has no future, they find themselves increasingly drawn into each other's company."
Lockdown Tower,2022,4.9,Drama|Fantasy|Horror,89,4.9,,512,"The inhabitants of a tower wake up one morning to find that their building is shrouded in an opaque fog, obstructing doors and windows - a strange dark matter that devours anything that ...                See full summary »"
Virus-32,2022,5.5,Horror,90,5.5,67,1920,"A rapid spreading virus which transforms people into intelligent, ultra-violent, extra-fast zombies. After each wave of attack by the monsters, they're left incapacitated for 32 seconds while they recover their strength."
Cobalt Blue/II,2022,6.5,Drama|Romance,112,6.5,,2331,"When a brother and sister fall in love with the same man, ensuing events shatter a traditional Marathi family. Based on Sachin Kundalkar's novel."
The Monkey King: The Legend Begins,2022,5.3,Adventure|Fantasy,90,5.3,,242,"The Monkey King: The Legend Begins is the re-imagined version by Hollywood of the film The Monkey King: Havoc in Heavens Palace, the origin and birthplace of The Monkey King Story."
Girl Picture,2022,7,Romance,100,7,78,2259,"Three young women try to defy the persistent winter darkness in Finland. In the process, they move between dreams, reality, friendship and relationships, and try to make sense of the whole mess."
Marmaduke,2022,3.5,Animation|Adventure|Comedy,88,3.5,,4881,"A legendary dog trainer believes he can transform Marmaduke from an undisciplined, but lovable dog, into the first Great Dane to win the World Dog Championship."
Ernest and Celestine: A Trip to Gibberitia,2022,7.1,Animation|Adventure|Comedy,80,7.1,79,389,Ernest and Célestine return to Ernest's country to have his broken violin repaired. They discover that music is banned throughout the country. They will attempt to right this injustice in order to bring joy back to bear country.
Ivy & Bean,2022,6,Action|Comedy|Family,56,6,,339,"Two unlikely friends, the loud and fearless Bean, and the thoughtful and quiet Ivy. Yet the two discover that an adventure can reveal that even seemingly different people can become the best of friends."
Miracle at Manchester,2022,8.4,Family,,8.4,,88,Based on a true events about a community that comes together to organize a miracle for a teen battling an aggressive form of brain cancer while two men find their own restoration in his healing journey and a father finds his faith again.
Lesson Plan,2022,5,Action|Crime|Drama,101,5,,1762,"After a teacher tragically dies, his friend, who happens to be a former cop, takes over his old job in hopes of catching the people responsible for his murder."
Birdemic 3: Sea Eagle,2022,1.6,Horror|Romance|Sci-Fi,83,1.6,,336,"A flock of sea eagles attack the coastal town of Santa Cruz, California. Why did the birds attack? Who will survive?"
Good Girl Jane,2022,8,Crime|Drama,117,8,,44,"Failing to find intimacy in her broken home, a lonely young girl falls hard for a charming drug dealer and becomes entangled in his meth ring run by LA teens."
Monolith,2022,6.4,Mystery|Sci-Fi|Thriller,94,6.4,,150,"A headstrong journalist whose investigative podcast uncovers a strange artifact, an alien conspiracy, and the lies at the heart of her own story."
The Sawyer Massacre,2022,6,Horror|Mystery|Thriller,93,6,,415,"On June 30th, 1965, Jimmy's friends bring him to the Texas countryside to escape city life after a terrible tragedy. In need of supplies for their cabin, they ascend to a nearby gas station...                See full summary »"
Ride Above,2022,6.1,Drama,109,6.1,,279,A teenager is raised with horses at her parent's racehorse stable who has a deep exceptional bond with young horse. An accident threatens to bring racing careers to an end but they battle together to achieve victory.
Rift/II,2022,4.4,Thriller,,4.4,,89,"Jason Cole has a successful career, a beautiful wife, home, and works as an FBI Agent. He appears to have it all. Until his past rears its head and propels him into a situation that not even he, could have prepared him for."
Jayeshbhai Jordaar,2022,6,Comedy|Drama,121,6,,43782,A timid Jayesh must defy his patriarchal family as he flees with his wife to save their unborn daughter from foeticide.
Aqua Teen Forever: Plantasm,2022,6.2,Animation|Comedy,79,6.2,,1279,"What happens next with Frylock, Meatwad and Master Shake, who consider themselves crime fighters, but the truth is they never fight crime."
Baked with a Kiss,2022,6.7,Romance,,6.7,,44,It tells the story of a baker who is known to put magic in her treats.
Ténor,2022,6.5,Comedy|Drama|Music,100,6.5,,971,"Antoine, a young Parisian suburbanite, studies accounting without much conviction, dividing his time between the rap battles he practices with talent and his job as a sushi delivery boy. ...                See full summary »"
Bhool Bhulaiyaa 2,2022,5.7,Comedy|Drama|Horror,143,5.7,,32499,"When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit that has been trapped for 18 years."
I Believe in Santa,2022,4.4,Comedy|Romance,89,4.4,,3410,"Love is a gift. But when you find out the man you've fallen for still believes in Santa, do you accept it - or send it back?"
